Record_id,id,Gender,Customer Type,Age,Age_group,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Satisfaction
1,19556,Female,Loyal Customer,52,Senior,Business travel,Eco,160,5,4,3,4,3,4,3,5,5,5,5,2,5,5,50,44.0,1
2,90035,Female,Loyal Customer,36,Mid,Business travel,Business,2863,1,1,3,1,5,4,5,4,4,4,4,3,4,5,0,0.0,1
3,12360,Male,disloyal Customer,20,Young,Business travel,Eco,192,2,0,2,4,2,2,2,2,4,1,3,2,2,2,0,0.0,0
4,77959,Male,Loyal Customer,44,Mid,Business travel,Business,3377,0,0,0,2,3,4,4,1,1,1,1,3,1,4,0,6.0,1
5,36875,Female,Loyal Customer,49,Senior,Business travel,Eco,1182,2,3,4,3,4,1,2,2,2,2,2,4,2,4,0,20.0,1
6,39177,Male,Loyal Customer,16,Teen,Business travel,Eco,311,3,3,3,3,5,5,3,5,4,3,1,1,2,5,0,0.0,1
7,79433,Female,Loyal Customer,77,Old,Business travel,Business,3987,5,5,5,5,3,5,5,5,5,5,5,4,5,3,0,0.0,1
8,97286,Female,Loyal Customer,43,Mid,Business travel,Business,2556,2,2,2,2,4,4,5,4,4,4,4,5,4,3,77,65.0,1
9,27508,Male,Loyal Customer,47,Senior,Business travel,Eco,556,5,2,2,2,5,5,5,5,2,2,5,3,3,5,1,0.0,1
10,62482,Female,Loyal Customer,46,Senior,Business travel,Business,1744,2,2,2,2,3,4,4,4,4,4,4,5,4,4,28,14.0,1
11,47583,Female,Loyal Customer,47,Senior,Business travel,Eco,1235,4,1,1,1,5,1,5,3,3,4,3,1,3,4,29,19.0,1
12,115550,Female,Loyal Customer,33,Mid,Business travel,Business,325,2,5,5,5,1,3,4,2,2,2,2,3,2,4,18,7.0,0
13,119987,Female,Loyal Customer,46,Senior,Business travel,Business,1009,5,5,5,5,4,5,5,5,5,5,5,5,5,3,0,0.0,1
14,42141,Female,Loyal Customer,60,Senior,Business travel,Business,451,1,1,4,1,5,5,4,5,5,5,5,3,5,5,117,113.0,1
15,2274,Female,Loyal Customer,52,Senior,Business travel,Business,925,2,2,2,2,5,5,4,4,4,4,4,3,4,5,10,0.0,1
16,22470,Male,Loyal Customer,50,Senior,Personal Travel,Eco,83,3,4,0,3,2,0,2,2,4,2,4,4,5,2,5,2.0,0
17,124915,Female,Loyal Customer,31,Mid,Business travel,Eco,728,2,5,5,5,2,2,2,2,4,3,3,4,3,2,2,0.0,0
18,17836,Male,Loyal Customer,52,Senior,Personal Travel,Eco Plus,1075,5,4,5,3,4,5,4,4,3,5,5,4,5,4,0,0.0,1
19,76872,Female,Loyal Customer,43,Mid,Personal Travel,Eco,1927,3,4,3,1,4,4,5,5,5,3,5,4,5,3,0,0.0,0
20,64287,Female,Loyal Customer,50,Senior,Business travel,Business,3799,5,5,5,5,4,5,4,4,4,5,4,5,4,5,8,0.0,1
21,63995,Male,Loyal Customer,60,Senior,Business travel,Business,612,4,4,4,4,2,4,5,5,5,5,5,5,5,5,21,49.0,1
22,75855,Male,Loyal Customer,43,Mid,Personal Travel,Eco,1437,3,4,3,4,2,3,2,2,4,2,4,4,5,2,0,0.0,0
23,106181,Male,Loyal Customer,55,Senior,Personal Travel,Eco,302,1,2,4,3,4,4,4,4,1,3,2,4,3,4,0,0.0,0
24,44304,Male,Loyal Customer,25,Young,Business travel,Business,1428,4,4,4,4,4,4,4,4,1,5,3,1,5,4,0,0.0,1
